Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,171.0936737060547,172.30132557902704,170.05260326961601,171.88489740445155,121465900
2015-01-05,168.00381469726562,170.21087934548927,167.69566185802958,170.0443105866693,169632600
2015-01-06,166.42132568359375,168.83660348880463,165.62177817017735,168.31190003598834,209151400
2015-01-07,168.49513244628906,168.8366065315259,167.304154203935,167.75389095132786,125346700
2015-01-08,171.485107421875,171.70165819366062,169.8943615441331,169.91100952013304,147217800
2015-01-09,170.1109619140625,171.91825922554864,169.4946434501025,171.90159853506773,158567300
2015-01-12,168.7783966064453,170.4024772557339,168.170414804647,170.24423245742298,144396100
2015-01-13,168.30361938476562,171.13532600332968,166.99602876356442,170.00264081422807,214553300
2015-01-14,167.2875518798828,167.48744200866474,165.380316146066,166.27978995463153,192991100
2015-01-15,165.75509643554688,168.2453291207079,165.63849703933582,167.9288523072099,176613900
2015-01-16,167.92884826660156,168.0870930237335,165.36364890329924,165.5468783369909,211879600
2015-01-20,168.2869415283203,168.83662973497127,166.71284363354977,168.5701096196089,130991100
2015-01-21,169.13644409179688,169.61950222842685,167.3541322744823,167.8205297282278,122942700
2015-01-22,171.65174865722656,171.78499605354645,168.5118757477221,169.89442074015338,174356000
2015-01-23,170.71055603027344,171.6516877115585,170.57729597288503,171.39349158472652,117516800
2015-01-26,171.11038208007812,171.20199681235306,169.77781917507716,170.494076343304,92009700
2015-01-27,168.85333251953125,170.002665855554,168.02047601393534,169.04488595747142,134044600
2015-01-28,166.6879119873047,170.144261639921,166.49635853618847,170.04432291905735,168514300
2015-01-29,168.22869873046875,168.48688222704584,165.471932881139,166.88779917965473,173585400
2015-01-30,166.1132049560547,168.37857536051064,165.84669751879048,167.0460127574295,197729700
2015-02-02,168.1703338623047,168.26194855889557,164.78893949275056,166.61289672863762,163107000
2015-02-03,170.6023406982422,170.61067739750013,168.69510470047797,169.06988762397768,124212900
2015-02-04,169.95269775390625,171.05207444943656,169.4946241307686,169.83609835059684,134306700
2015-02-05,171.66835021972656,171.8182709740744,170.5440017498259,170.61895577281,97953200
2015-02-06,171.1936492919922,172.60117875422168,170.66894565122752,172.0348297484409,125672000
2015-02-09,170.4274139404297,171.26859435281673,170.01930971805828,170.5440133313386,87219000
2015-02-10,172.2430419921875,172.50122546074644,170.4690536705161,171.46849158651077,96164200
2015-02-11,172.3429412841797,172.776030101501,171.42680701522008,172.07643388701297,91087800
2015-02-12,174.0003204345703,174.05862647015135,172.37625334279198,173.142479542288,97545900
2015-02-13,174.7166290283203,174.7665983831131,173.86711187169973,174.12530805209767,93670400
2015-02-17,174.991455078125,175.16636051017983,174.1502747066114,174.40012145471852,76968200
2015-02-18,175.0081787109375,175.08313276232906,174.35021481525322,174.6167350536024,80652900
2015-02-19,174.88319396972656,175.24965284139665,174.26688832953678,174.40847240115826,91462500
2015-02-20,175.93255615234375,176.0075101636944,173.84207886323932,174.4667210412501,140896400
2015-02-23,175.9075927734375,175.9075927734375,175.29959849655123,175.68271800378943,74411100
2015-02-24,176.40731811523438,176.60720823312312,175.53281632349453,175.8326451461373,72472300
2015-02-25,176.2574462890625,176.76548932329516,175.91597203311954,176.2824309703868,73061700
2015-02-26,176.0491943359375,176.32403847987044,175.44119999857952,176.16579372654112,72697900
2015-02-27,175.44956970214844,176.21579622859966,175.39960034082944,175.94927602372124,108076000
2015-03-02,176.5572052001953,176.61549853072148,175.49947417926168,175.54944352210643,87491400
2015-03-03,175.83258056640625,176.6071433689109,174.96641579044098,176.124085292716,110325800
2015-03-04,175.09136962890625,175.3079203919057,174.116929320543,175.23295366943307,114497200
2015-03-05,175.28294372558594,175.56611181957166,174.77490087066866,175.41619107615773,76873000
2015-03-06,172.81773376464844,174.84990577575223,172.48459622869603,174.4168168123082,188128000
2015-03-09,173.533935546875,173.89205764836316,172.85932399132506,173.01756871835596,89818900
2015-03-10,170.71893310546875,172.24306212630245,170.67728773603739,172.15978409582223,157121300
2015-03-11,170.319091796875,171.15194799148074,170.23580109406362,170.97704259892765,110145700
2015-03-12,172.48458862304688,172.551205960594,170.902153626094,170.95212298344524,93993500
2015-03-13,171.42681884765625,173.1758095045973,170.38574844172263,172.20970582625895,162410900
2015-03-16,173.71719360351562,173.80880831804816,171.45182312451158,172.159756164843,136099200
2015-03-17,173.20086669921875,173.5839736242122,172.38465806906453,172.97599185553273,94510400
2015-03-18,175.28294372558594,175.95755530000199,172.08476585266823,172.726068766536,228808500
2015-03-19,174.4834442138672,175.291316070096,174.0920006254519,174.8665638119438,117917300
2015-03-20,176.0235595703125,176.53387028228119,175.25391292957588,175.4379602529159,177715100
2015-03-23,175.6805419921875,176.60913965332188,175.6805419921875,176.0319015443591,71784500
2015-03-24,174.6934356689453,176.01521171021966,174.62650819917923,175.5551060988808,77805300
2015-03-25,172.13345336914062,175.13676358623536,172.09163488323603,174.90252389870506,159521700
2015-03-26,171.7235565185547,172.6437803021698,170.76148871487146,171.464220608944,153067200
2015-03-27,172.11676025390625,172.2924336667771,171.4140283070996,171.6064495413399,118939000
2015-03-30,174.21652221679688,174.5176893444385,173.13734745572566,173.1540697435742,96180400
2015-03-31,172.69395446777344,174.0910441983471,172.63540092909554,173.38831237847418,126768700
2015-04-01,172.08323669433594,172.68557088160208,171.0877117802404,172.66047468755795,137303600
2015-04-02,172.7023468017578,173.15409116655843,171.8323026519915,172.01634996193795,86900900
2015-04-06,173.86517333984375,174.3838451272178,171.67335357760535,171.80719571411393,114368200
2015-04-07,173.4051055908203,174.6432318785435,173.3716482382266,173.89032017664246,81236300
2015-04-08,173.99066162109375,174.43404483179944,173.23775010690466,173.63094091867862,89351900
2015-04-09,174.76034545898438,174.99458521402363,173.329810723931,173.82338643882733,85548900
2015-04-10,175.7140655517578,175.75589682101705,174.81057651433633,175.01134618260284,72722900
2015-04-13,174.9193115234375,176.20764305118132,174.8691191095195,175.57183843459228,74436600
2015-04-14,175.25393676757812,175.43798411595225,174.0910991201832,174.7185297809742,75099900
2015-04-15,176.040283203125,176.550593918983,175.63873120600803,175.7223937227485,99529300
2015-04-16,175.99009704589844,176.5004077798699,175.50488251481832,175.70566490305748,68934900
2015-04-17,173.96556091308594,175.03637461289986,173.17917930991808,174.79377376931495,191113200
2015-04-20,175.55511474609375,175.88973934629706,174.81056416029767,174.89421392779337,92189500
2015-04-21,175.34593200683594,176.40001075059098,175.0447648278906,176.241059633216,72559800
2015-04-22,176.20762634277344,176.3916736864279,174.76034379811696,175.6889416628794,78264600
2015-04-23,176.65097045898438,177.30349716352117,175.68890269144993,175.8060225418769,102585900
2015-04-24,177.0609130859375,177.32862294019844,176.6091686632577,177.06928699707592,61327400
2015-04-27,176.3247528076172,177.75528758252767,176.13233154517363,177.62980655494243,79358100
2015-04-28,176.88523864746094,176.93543105356943,175.1200666970314,176.29963930101454,86863500
2015-04-29,176.15744018554688,176.75976188193656,175.34596216839117,175.99011512893404,125684900
2015-04-30,174.39222717285156,175.9733515722599,173.6894952891427,175.58016075861437,161304900
2015-05-01,176.28292846679688,176.3247597326714,175.07825949422718,175.17864432023794,103399700
2015-05-04,176.78485107421875,177.37045041151927,176.60080374462314,176.7095497011237,70927200
2015-05-05,174.76034545898438,176.90198613594362,174.61812937664692,176.54225259170593,113326200
2015-05-06,174.04083251953125,175.62195671608615,172.97001892425095,175.31242845084097,135060200
2015-05-07,174.7352752685547,175.16193634419716,173.60590758828556,173.94053221241467,88244900
2015-05-08,177.0358428955078,177.2366253157055,176.33312357248138,176.41678610550798,155877300
2015-05-11,176.19090270996094,177.26171672514724,176.1156140913408,176.99401960390566,75708100
2015-05-12,175.6638641357422,176.20764507803298,174.5261226017757,175.35433573628052,119727600
2015-05-13,175.697265625,176.70115181810272,175.46302593877954,176.07372135177533,94667900
2015-05-14,177.52938842773438,177.62141208573615,176.44183958728814,176.71791056129345,95934000
2015-05-15,177.72181701660156,177.86403309232765,177.2366024708315,177.72181701660156,76510100
2015-05-18,178.2739715576172,178.52493361176826,177.48758974765167,177.55451721712848,74549700
2015-05-19,178.21539306640625,178.66715026325144,177.93096091438295,178.39107925742576,72114600
2015-05-20,178.0899200439453,178.84283171901396,177.77201776264067,178.31578588740035,76857500
2015-05-21,178.60855102539062,178.81769452776226,177.7803381605606,177.94766317454298,64764600
2015-05-22,178.181884765625,178.64199021199255,178.1149573198558,178.22370324976382,57433500
2015-05-26,176.26614379882812,178.11497800321865,175.8478567880264,177.6883170825327,124308600
2015-05-27,177.93934631347656,178.17358609002335,176.31639017232357,176.72631616383563,93214000
2015-05-28,177.73855590820312,177.8473018713344,177.04419780695585,177.6297971799629,74974600
2015-05-29,176.63427734375,177.7134524528389,176.3665802356876,177.67163395462651,124919600
2015-06-01,176.9940185546875,177.63817153032124,176.19926281248632,177.30354693947538,93338800
2015-06-02,176.81834411621094,177.51270231528696,175.90648119511897,176.53391191854917,91531000
2015-06-03,177.28677368164062,177.91420422812087,176.7931980487019,177.3537011384114,87820900
2015-06-04,175.78936767578125,177.2366376893878,175.4714653462183,176.57574958673513,151882800
2015-06-05,175.4881591796875,176.16578218394235,174.8272584671886,175.63873639614047,121704700
2015-06-08,174.4089813232422,175.53000042496774,174.33369271073263,175.37941043483968,89063300
2015-06-09,174.38385009765625,174.92763086405006,173.74805844452405,174.38385009765625,105034700
2015-06-10,176.47528076171875,176.86011041403634,175.0949387832894,175.15349232477547,134551300
2015-06-11,177.04421997070312,177.4290369932354,176.68448639039457,176.91872616892132,73876400
2015-06-12,175.68894958496094,176.91871472523638,175.41287855703078,176.21599543511033,135382400
2015-06-15,174.93597412109375,175.2204061922185,173.83169041187284,174.5427833547898,124384200
2015-06-16,175.88975524902344,175.97341778919358,174.60979752811102,174.78547099131234,85308200
2015-06-17,176.17416381835938,176.78487219639754,175.14518109093834,176.17416381835938,126708600
2015-06-18,178.00624084472656,178.47472031112082,176.20761158658254,176.77647586288757,165867900
2015-06-19,177.2160186767578,177.83809935991428,176.83773174298938,177.76244453860045,130478700
2015-06-22,178.1239471435547,178.71239501635898,177.91378627275304,178.14076360483526,70696000
2015-06-23,178.2500457763672,178.58631087963116,177.85495512423543,178.3341152589837,68476800
2015-06-24,176.95541381835938,178.35928658349772,176.9301955456538,177.9809996657153,92307300
2015-06-25,176.41741943359375,177.58591321336527,176.3417646082675,177.45982183782158,97107400
2015-06-26,176.38381958007812,177.02270400146918,175.8289918096272,176.7789102111795,104174800
2015-06-29,172.68495178222656,176.3921919562065,172.6092969608472,174.89584785088476,202621300
