entry_date,exit_date,entry_price,exit_price,side,pnl_pct,exit_reason
2004-04-21,2004-04-22,1124.1,1139.9,short,0.0,
2004-04-23,2004-04-28,1140.6,1122.4,long,-0.015956514115377685,
2004-04-29,2004-06-01,1113.9,1121.2,short,0.0,
2004-06-02,2004-06-03,1125.0,1116.6,long,-0.0074666666666667325,
2004-06-04,2004-06-04,1122.5,1122.5,short,0.0,
2004-06-07,2004-06-14,1140.4,1125.3,long,-0.013240968081375093,
2004-06-15,2004-06-22,1132.0,1134.4,short,0.0,
2004-06-23,2004-07-06,1144.1,1116.2,long,-0.024385980246481864,
2004-07-07,2004-09-13,1118.3,1125.8,short,0.0,
2004-09-14,2004-09-22,1128.3,1113.6,long,-0.013028449880351012,
2004-09-23,2004-09-23,1108.4,1108.4,short,0.0,
2004-09-24,2004-09-27,1110.1,1103.5,long,-0.00594541032339424,
2004-09-28,2004-09-28,1110.1,1110.1,short,0.0,
2004-09-29,2004-10-14,1114.8,1103.3,long,-0.010315751704341625,
2004-10-15,2004-10-15,1108.2,1108.2,short,0.0,
2004-10-18,2004-10-19,1114.0,1103.2,long,-0.009694793536804247,
2004-10-20,2004-10-27,1103.7,1125.4,short,0.0,
2004-10-28,2004-10-29,1127.4,1130.2,long,0.0024835905623559196,
2004-11-01,2004-11-03,1130.5,1143.2,short,0.0,
2004-11-04,2005-01-04,1161.7,1172.9,long,0.009641043298614038,
2005-01-06,2005-01-06,1202.3,1202.3,short,0.0,
2005-01-07,2005-02-05,1194.4,1162.2,long,-0.026959142665773594,
2005-02-06,2005-02-06,1204.3,1204.3,short,0.0,
2005-02-08,2005-03-02,1244.1,1189.9,long,-0.043565629772526204,
2005-03-03,2005-03-03,1210.5,1210.5,short,0.0,
2005-03-05,2005-03-05,1161.2,1161.2,long,0.0,
2005-03-06,2005-03-08,1196.0,1245.0,short,0.0,
2005-03-10,2005-04-01,1226.7,1188.0,long,-0.031548055759354376,
2005-04-02,2005-04-03,1203.0,1222.1,short,0.0,
2005-04-04,2005-04-04,1176.1,1176.1,long,0.0,
2005-04-05,2005-04-08,1175.7,1235.9,short,0.0,
2005-04-10,2005-05-01,1214.5,1183.7,long,-0.025360230547550433,
2005-05-04,2005-05-08,1181.4,1226.4,short,0.0,
2005-05-10,2005-05-10,1196.4,1196.4,long,0.0,
2005-05-12,2005-05-12,1262.1,1262.1,short,0.0,
2005-06-01,2005-06-01,1187.9,1187.9,long,0.0,
2005-06-04,2005-06-09,1184.1,1233.4,short,0.0,
2005-06-10,2005-06-10,1191.5,1191.5,long,0.0,
2005-06-12,2005-06-12,1263.7,1263.7,short,0.0,
2005-07-01,2005-07-01,1186.2,1186.2,long,0.0,
2005-07-02,2005-07-03,1201.7,1225.3,short,0.0,
2005-07-04,2005-07-04,1191.1,1191.1,long,0.0,
2005-07-06,2005-07-09,1197.3,1236.4,short,0.0,
2005-07-10,2005-07-10,1195.9,1195.9,long,0.0,
2005-07-11,2005-07-11,1222.8,1222.8,short,0.0,
2005-07-12,2005-08-02,1257.4,1202.3,long,-0.04382058215365048,
2005-08-03,2005-08-03,1219.4,1219.4,short,0.0,
2005-08-04,2005-08-04,1181.2,1181.2,long,0.0,
2005-08-06,2005-08-07,1194.7,1211.9,short,0.0,
2005-08-08,2005-09-02,1223.1,1192.0,long,-0.025427193197612552,
2005-09-03,2005-09-08,1207.0,1231.4,short,0.0,
2005-09-09,2005-10-01,1241.5,1190.2,long,-0.04132098268223916,
2005-10-02,2005-10-08,1197.0,1229.1,short,0.0,
2005-10-10,2005-10-10,1187.3,1187.3,long,0.0,
2005-10-11,2005-10-11,1231.0,1231.0,short,0.0,
2005-11-01,2005-11-01,1183.0,1183.0,long,0.0,
2005-11-02,2005-11-07,1205.3,1219.4,short,0.0,
2005-11-08,2005-11-10,1237.8,1184.9,long,-0.04273711423493287,
2005-11-11,2005-11-11,1234.7,1234.7,short,0.0,
2005-12-01,2005-12-01,1187.7,1187.7,long,0.0,
2005-12-04,2005-12-07,1187.8,1222.2,short,0.0,
2005-12-08,2005-12-10,1230.4,1177.7,long,-0.04283159947984394,
2005-12-12,2005-12-12,1260.4,1260.4,short,0.0,
2006-01-02,2006-05-06,1282.5,1265.3,long,-0.013411306042884985,
2006-05-07,2006-05-09,1270.9,1313.2,short,0.0,
2006-05-10,2006-06-01,1353.2,1285.5,long,-0.05002955956251853,
2006-06-02,2006-06-04,1265.0,1309.0,short,0.0,
2006-06-06,2006-06-06,1263.8,1263.8,long,0.0,
2006-06-07,2006-06-09,1274.1,1300.3,short,0.0,
2006-06-10,2006-07-02,1349.6,1254.8,long,-0.0702430349733254,
2006-07-03,2006-07-11,1275.9,1382.8,short,0.0,
2006-07-12,2006-08-02,1407.3,1265.7,long,-0.10061820507354502,
2006-08-03,2006-08-05,1278.5,1324.7,short,0.0,
2006-08-06,2006-08-06,1257.9,1257.9,long,0.0,
2006-08-08,2006-08-11,1271.5,1385.7,short,0.0,
2006-08-12,2006-09-01,1409.8,1290.2,long,-0.08483472833025951,
2006-09-02,2006-09-05,1263.8,1325.1,short,0.0,
2006-09-06,2006-09-06,1252.3,1252.3,long,0.0,
2006-09-08,2006-09-10,1266.0,1350.7,short,0.0,
2006-09-11,2006-10-01,1378.3,1289.7,long,-0.06428208662845525,
2006-10-02,2006-10-05,1267.0,1322.8,short,0.0,
2006-10-07,2006-10-07,1267.3,1267.3,long,0.0,
2006-10-08,2006-10-10,1271.8,1353.4,short,0.0,
2006-10-11,2006-11-01,1380.9,1294.2,long,-0.06278514012600478,
2006-11-04,2006-11-10,1286.6,1350.0,short,0.0,
2006-11-12,2006-12-01,1413.0,1286.1,long,-0.08980891719745232,
2006-12-04,2006-12-09,1288.1,1313.1,short,0.0,
2006-12-10,2007-05-01,1362.8,1409.7,long,0.034414440857059025,
2007-05-02,2007-05-02,1447.0,1447.0,short,0.0,
2007-05-03,2007-05-03,1374.1,1374.1,long,0.0,
2007-05-04,2007-05-04,1443.8,1443.8,short,0.0,
2007-05-06,2007-06-03,1531.0,1395.4,long,-0.088569562377531,
2007-06-06,2007-06-06,1517.4,1517.4,short,0.0,
2007-06-07,2007-07-02,1530.4,1450.0,long,-0.05253528489283854,
2007-07-03,2007-07-05,1392.0,1509.5,short,0.0,
2007-07-06,2007-07-08,1490.7,1476.7,long,-0.00939156101160532,
2007-07-09,2007-07-12,1453.5,1504.7,short,0.0,
2007-08-01,2007-08-01,1412.8,1412.8,long,0.0,
2007-08-02,2007-08-05,1448.3,1507.7,short,0.0,
2007-08-06,2007-08-11,1507.7,1474.8,long,-0.021821317238177373,
2007-09-01,2007-09-05,1412.1,1512.6,short,0.0,
2007-09-07,2007-09-08,1531.8,1453.1,long,-0.05137746442094271,
2007-09-10,2007-09-10,1565.2,1565.2,short,0.0,
2007-09-11,2007-09-11,1453.7,1453.7,long,0.0,
2007-10-01,2007-10-07,1414.8,1510.1,short,0.0,
2007-10-08,2007-10-08,1453.6,1453.6,long,0.0,
2007-10-09,2007-10-10,1451.7,1562.5,short,0.0,
2007-10-12,2007-11-01,1516.0,1423.8,long,-0.06081794195250667,
2007-11-04,2007-11-05,1438.9,1505.8,short,0.0,
2007-11-06,2007-11-09,1509.1,1471.5,long,-0.024915512557153185,
2007-11-10,2007-11-10,1554.4,1554.4,short,0.0,
