,Total Return,CAGR,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Win Rate,Avg Trade,Profit Factor,Total Trades
Adaptive_Ensemble,2.246361911462371,0.08182342602798331,0.5771864695073959,0.7255209199939152,-0.19950846357706847,0.41012508723157803,0.6086956521739131,31018.10189104305,3.3675367202461115,23.0
TrendFollowing_LS,1.2921303655362948,0.056964767215964995,0.49503293083356675,0.49571960020288997,-0.13555823274542347,0.4202235899824989,0.6875,9839.977744671474,3.7946377191158476,48.0
Classic_Momentum,4.2534163790440624,0.11716819558231428,0.7680562868351115,0.9966350525831407,-0.24445110729717065,0.4793113718232293,0.6451612903225806,42814.20050600285,4.084857782709946,31.0
