,Total Return,CAGR,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Win Rate,Avg Trade,Profit Factor,Total Trades
Adaptive_Ensemble,0.8871228803331817,0.040809070991177476,0.4473880362494642,0.5695258360332581,-0.08207792179248703,0.49719912614689177,0.6428571428571429,11319.908696479139,4.150950104880246,28.0
TrendFollowing_LS,0.5976046871190823,0.029948154370931457,0.30424462138586134,0.3186949612705652,-0.05831447639612906,0.5135629473459429,0.6923076923076923,3873.3590940457852,3.8649744676578623,52.0
Classic_Momentum,1.2799221228504214,0.05327875637522461,0.630024476395809,0.8241376560367949,-0.1048851756164152,0.5079722283163737,0.6388888888888888,10300.528649535454,3.938888805603688,36.0
