,Total Return,CAGR,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Win Rate,Avg Trade,Profit Factor,Total Trades
Adaptive_Ensemble_ES,0.5109026689881719,0.026334851265802595,0.18925482174364505,0.2251131863679345,-0.07858093436674754,0.3351302892746781,0.6875,11295.937440625,4.4424290512816516,16.0
Adaptive_Ensemble_GC,0.2548758986512947,0.014402466355393218,-0.1654911745903173,-0.2058667292404343,-0.13938387741722566,0.10332949995559026,0.5833333333333334,7619.025899263513,3.2532269692877573,12.0
TrendFollowing_LS_NQ,0.3828804755360138,0.020627382392701676,0.029401239798772072,0.0300301017447989,-0.04344871139033766,0.47475245485160456,0.7142857142857143,4464.836555357143,4.140766558592655,28.0
TrendFollowing_LS_GC,0.15202549769266938,0.008953483177383204,-0.5495234554714978,-0.43707521697312046,-0.08480804457080383,0.10557351278047915,0.6666666666666666,2259.8482492869057,2.915981496876898,24.0
Classic_Momentum_GC,0.32271970015201434,0.017772143753343128,-0.0554853761094,-0.0723776870488292,-0.10856065867592633,0.16370703687784605,0.6153846153846154,7603.751702570987,3.8146409665640353,13.0
Classic_Momentum_NQ,0.734599376992116,0.035298970803747,0.38218860273225136,0.4797122898403209,-0.07780648867310415,0.45367644017521397,0.6521739130434783,8976.019006521743,3.684740804779289,23.0
