Date,Cash,PositionsValue,TotalValue,UnrealizedPnL
2019-05-28,272273.59926498175,65101.5,337375.09926498175,-1630.041149267583
2019-05-29,272273.59926498175,65310.59875488281,337584.19801986456,-1420.9423943847705
2019-05-30,272273.59926498175,65642.09875488281,337915.69801986456,-1089.4423943847705
2019-05-31,272273.59926498175,66595.80249023438,338869.4017552161,-135.73865903320802
2019-06-03,272273.59926498175,67457.69750976562,339731.2967747474,726.156360498042
2019-06-04,272273.59926498175,67493.40124511719,339767.00051009894,761.8600958496045
2019-06-05,272273.59926498175,67743.30249023438,340016.9017552161,1011.761340966792
2019-06-06,272273.59926498175,68217.59875488281,340491.19801986456,1486.0576056152295
2019-06-07,272273.59926498175,68401.19750976562,340674.7967747474,1669.656360498042
2019-06-10,272273.59926498175,67559.69750976562,339833.2967747474,828.156360498042
2019-06-11,272273.59926498175,67646.40124511719,339920.00051009894,914.8600958496045
2019-06-12,272273.59926498175,67926.90124511719,340200.50051009894,1195.3600958496045
2019-06-13,272273.59926498175,68299.19750976562,340572.7967747474,1567.656360498042
2019-06-14,272273.59926498175,68345.09875488281,340618.69801986456,1613.5576056152295
2019-06-17,272273.59926498175,68273.69750976562,340547.2967747474,1542.156360498042
2019-06-18,272273.59926498175,68676.59875488281,340950.19801986456,1945.0576056152295
2019-06-19,272273.59926498175,68574.59875488281,340848.19801986456,1843.0576056152295
2019-06-20,343275.9858217505,0.0,343275.9858217505,0.0
2019-06-21,343275.9858217505,0.0,343275.9858217505,0.0
2019-06-24,343275.9858217505,0.0,343275.9858217505,0.0
2019-06-25,343275.9858217505,0.0,343275.9858217505,0.0
2019-06-26,343275.9858217505,0.0,343275.9858217505,0.0
2019-06-27,343275.9858217505,0.0,343275.9858217505,0.0
2019-06-28,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-01,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-02,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-03,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-05,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-08,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-09,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-10,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-11,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-12,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-15,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-16,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-17,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-18,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-19,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-22,343275.9858217505,0.0,343275.9858217505,0.0
2019-07-23,343275.9858217505,0.0,343275.9858217505,0.0
