ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,return,hold_days
GC,2010-06-25,2011-07-13,1256.0512088378907,1584.8829111816406,55,18085.743628906246,0.26179800634719963,383
GC,2011-07-13,2013-04-15,1585.5169911621094,1360.3278555908203,46,-10358.700236279306,-0.14202883780276365,642
GC,2013-09-19,2013-12-02,1369.6739044189453,1222.0555888183594,52,-7676.152411230469,-0.10777624887524584,74
GC,2014-02-14,2014-10-31,1319.2638,1170.8657555908203,53,-7865.096353686531,-0.11248549714558953,259
GC,2015-01-21,2015-03-06,1293.9586911621093,1163.8671555908204,52,-6764.759849707021,-0.10053762647898223,44
GC,2015-03-06,2019-08-05,1164.3327955810546,1464.3070555908203,57,17098.532820556647,0.2576361854173015,1613
GC,2019-08-05,2020-07-21,1464.8928955810547,1842.0315444091798,48,18102.655143750017,0.25745134676111037,351
GC,2020-07-21,2022-09-23,1842.7685044189452,1644.9709888183593,40,-7911.900624023445,-0.10733714795226257,794
GC,2022-11-28,2024-03-08,1740.4479955810548,2178.1643776367187,41,17946.371664282226,0.2514963866584998,466
GC,2024-03-08,2024-10-22,2179.0358176757813,2743.6511111816408,34,19196.91997919923,0.2591124427262024,228
GC,2024-10-22,2025-06-13,2744.7487911621092,3430.5137111816407,29,19887.182680566417,0.24984615066691873,234
GC,2025-06-13,2025-10-20,3431.8861911621093,4335.532622363281,24,21687.514348828132,0.2633089738022978,129
