,Total Return,CAGR,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Win Rate,Avg Trade,Profit Factor,Total Trades
Adaptive_Ensemble,0.8902600315608602,0.040917964079352,0.4494081984836113,0.5723762648361393,-0.08207792179248703,0.49852582991565714,0.6428571428571429,11319.908696479139,4.150950104880246,28.0
TrendFollowing_LS,0.5976046871190823,0.029948154370931457,0.30424462138586134,0.3186949612705652,-0.05831447639612906,0.5135629473459429,0.6923076923076923,3873.3590940457852,3.8649744676578623,52.0
Classic_Momentum,1.2837041329415668,0.05338871788439281,0.6317727837144554,0.8267472326834068,-0.1048851756164152,0.5090206272776373,0.6388888888888888,10300.528649535454,3.938888805603688,36.0
