ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,return,hold_days
GC,2011-07-27,2011-08-10,1615.323,1780.9437888183593,43,7121.693919189434,0.1025310658105898,14
GC,2011-12-29,2012-01-03,1540.2080044189454,1599.3800111816406,46,2721.9123110839864,0.03841819195389662,5
GC,2012-01-04,2013-04-15,1612.2224044189454,1360.3278555908203,44,-11083.36014843751,-0.15624057086522714,467
GC,2016-07-27,2016-11-23,1326.8652955810546,1188.8621555908203,52,-7176.163279492175,-0.10400689538707142,119
GC,2017-05-26,2018-02-14,1267.8534955810546,1355.2289,53,4630.8964342041,0.06891601018846538,264
GC,2018-02-16,2018-02-20,1353.4705911621095,1328.5342888183593,51,-1271.7514195312542,-0.01842397057356049,4
GC,2018-02-21,2018-03-01,1330.266,1302.6394444091798,51,-1408.9543351318425,-0.020767692770333412,8
GC,2018-05-31,2018-06-15,1300.3599955810546,1274.3450555908203,52,-1352.7768794921867,-0.02000595225832813,15
GC,2018-06-19,2018-10-11,1275.8550955810547,1223.2553,53,-2787.78916579589,-0.04122709213862519,114
GC,2019-01-29,2019-06-20,1308.4615911621095,1392.6214444091797,51,4292.1525156005955,0.0643196971279254,142
GC,2019-11-25,2020-02-28,1456.8912955810547,1563.7871555908202,47,5024.105420458975,0.0733725709900217,95
GC,2020-07-01,2020-09-23,1773.5545911621093,1859.5280444091798,39,3352.9646766357473,0.04847522240109736,84
GC,2020-09-25,2020-09-29,1858.0714911621094,1893.9211888183593,37,1326.4388132812455,0.019294035685262,4
GC,2020-09-30,2020-10-01,1887.8775,1908.0183444091797,37,745.2112431396527,0.010668512342129954,1
GC,2020-10-02,2020-10-07,1900.5799911621093,1883.2232555908204,37,-642.1992161376838,-0.009132336261561957,5
GC,2020-10-15,2021-01-08,1903.5805911621094,1833.7331555908204,37,-2584.3551161376963,-0.036692660082569994,85
GC,2021-01-26,2022-03-08,1851.0700911621093,2039.6919555908203,37,6979.00898386231,0.10189882345853984,406
GC,2023-01-27,2023-04-10,1928.9856955810546,1988.7021555908202,37,2209.5090203613363,0.030957440558820437,73
GC,2023-04-11,2023-04-13,2005.2010088378906,2040.8917888183594,35,1249.1772993164195,0.017799103343336675,2
GC,2023-06-07,2024-04-30,1943.0884911621094,2290.941622363281,37,12870.565854443354,0.17902073569131693,328
GC,2024-09-17,2024-11-25,2564.8129088378905,2616.276688818359,29,1492.4496194335952,0.020065315408829054,69
GC,2025-02-04,2025-04-10,2853.8707088378906,3154.5689111816405,26,7818.153260937499,0.10536504033365812,65
GC,2025-08-05,2025-10-16,3382.576282324219,4279.3441552734375,22,19728.8932048828,0.2651138653207359,72
GC,2025-10-16,2025-10-20,4281.0562353515625,4335.532622363281,18,980.5749662109301,0.012724987483665906,4
