Date,Cash,PositionsValue,TotalValue,UnrealizedPnL
2010-06-11,300000.0,0.0,300000.0,0.0
2010-06-14,300000.0,0.0,300000.0,0.0
2010-06-15,300000.0,0.0,300000.0,0.0
2010-06-16,300000.0,0.0,300000.0,0.0
2010-06-17,300000.0,0.0,300000.0,0.0
2010-06-18,300000.0,0.0,300000.0,0.0
2010-06-21,300000.0,0.0,300000.0,0.0
2010-06-22,300000.0,0.0,300000.0,0.0
2010-06-23,300000.0,0.0,300000.0,0.0
2010-06-24,300000.0,0.0,300000.0,0.0
2010-06-25,240947.88286257454,59034.40681538086,299982.2896779554,0.0
2010-06-28,240947.88286257454,58195.397705078125,299143.28056765266,-839.0091103027391
2010-06-29,240947.88286257454,58374.0,299321.88286257454,-660.4068153808641
2010-06-30,240947.88286257454,58538.5,299486.38286257454,-495.90681538086415
2010-07-01,240947.88286257454,56696.102294921875,297643.9851574964,-2338.304520458989
2010-07-02,240947.88286257454,56747.80114746094,297695.6840100355,-2286.6056679199264
2010-07-06,240947.88286257454,56155.602294921875,297103.4851574964,-2878.804520458989
2010-07-07,240947.88286257454,56334.19885253906,297282.0817151136,-2700.2079628418014
2010-07-08,240947.88286257454,56202.602294921875,297150.4851574964,-2831.804520458989
2010-07-09,240947.88286257454,56851.19885253906,297799.0817151136,-2183.2079628418014
2010-07-12,240947.88286257454,56329.5,297277.38286257454,-2704.906815380864
2010-07-13,240947.88286257454,57025.102294921875,297972.9851574964,-2009.3045204589891
2010-07-14,240947.88286257454,56719.602294921875,297667.4851574964,-2314.804520458989
2010-07-15,240947.88286257454,56780.69885253906,297728.5817151136,-2253.7079628418014
2010-07-16,240947.88286257454,55836.0,296783.88286257454,-3198.406815380864
2010-07-19,240947.88286257454,55539.897705078125,296487.78056765266,-3494.509110302739
2010-07-20,240947.88286257454,56000.5,296948.38286257454,-3033.906815380864
2010-07-21,240947.88286257454,56005.19885253906,296953.0817151136,-3029.2079628418014
2010-07-22,240947.88286257454,56188.5,297136.38286257454,-2845.906815380864
2010-07-23,240947.88286257454,55821.897705078125,296769.78056765266,-3212.509110302739
2010-07-26,240947.88286257454,55601.0,296548.88286257454,-3433.406815380864
2010-07-27,240947.88286257454,54426.0,295373.88286257454,-4608.406815380864
2010-07-28,240947.88286257454,54538.80114746094,295486.6840100355,-4495.605667919926
2010-07-29,240947.88286257454,54914.80114746094,295862.6840100355,-4119.605667919926
2010-07-30,240947.88286257454,55539.897705078125,296487.78056765266,-3494.509110302739
2010-08-02,240947.88286257454,55619.80114746094,296567.6840100355,-3414.6056679199264
2010-08-03,240947.88286257454,55704.397705078125,296652.28056765266,-3330.009110302739
2010-08-04,240947.88286257454,56103.897705078125,297051.78056765266,-2930.509110302739
2010-08-05,240947.88286257454,56268.397705078125,297216.28056765266,-2766.009110302739
2010-08-06,240947.88286257454,56559.80114746094,297507.6840100355,-2474.6056679199264
2010-08-09,240947.88286257454,56432.897705078125,297380.78056765266,-2601.509110302739
2010-08-10,240947.88286257454,56221.397705078125,297169.28056765266,-2813.009110302739
2010-08-11,240947.88286257454,56282.5,297230.38286257454,-2751.906815380864
2010-08-12,240947.88286257454,57095.602294921875,298043.4851574964,-1938.8045204589891
2010-08-13,240947.88286257454,57100.30114746094,298048.1840100355,-1934.1056679199266
2010-08-16,240947.88286257454,57551.5,298499.38286257454,-1482.9068153808641
2010-08-17,240947.88286257454,57650.19885253906,298598.0817151136,-1384.2079628418016
2010-08-18,240947.88286257454,57795.897705078125,298743.78056765266,-1238.5091103027391
2010-08-19,240947.88286257454,57988.602294921875,298936.4851574964,-1045.8045204589891
2010-08-20,240947.88286257454,57678.397705078125,298626.28056765266,-1356.0091103027391
2010-08-23,240947.88286257454,57664.30114746094,298612.1840100355,-1370.1056679199266
2010-08-24,240947.88286257454,57894.602294921875,298842.4851574964,-1139.8045204589891
2010-08-25,240947.88286257454,58256.5,299204.38286257454,-777.9068153808641
2010-08-26,240947.88286257454,58063.80114746094,299011.6840100355,-970.6056679199266
2010-08-27,240947.88286257454,58092.0,299039.88286257454,-942.4068153808641
2010-08-30,240947.88286257454,58143.69885253906,299091.5817151136,-890.7079628418016
2010-08-31,240947.88286257454,58670.102294921875,299617.9851574964,-364.30452045898915
2010-09-01,240947.88286257454,58576.102294921875,299523.9851574964,-458.30452045898915
2010-09-02,240947.88286257454,58820.5,299768.38286257454,-213.90681538086415
2010-09-03,240947.88286257454,58712.397705078125,299660.28056765266,-322.00911030273915
2010-09-07,240947.88286257454,59093.102294921875,300040.9851574964,58.695479541010855
2010-09-08,240947.88286257454,59013.19885253906,299961.0817151136,-21.207962841801645
2010-09-09,240947.88286257454,58698.30114746094,299646.1840100355,-336.10566791992665
2010-09-10,240947.88286257454,58491.5,299439.38286257454,-542.9068153808641
2010-09-13,240947.88286257454,58519.69885253906,299467.5817151136,-514.7079628418016
2010-09-14,240947.88286257454,59675.897705078125,300623.78056765266,641.4908896972609
2010-09-15,182651.2456165245,117814.05120507813,300465.2968216026,500.49088969726085
2010-09-16,182651.2456165245,118354.30114746094,301005.5467639854,1040.7408320800757
2010-09-17,182651.2456165245,118748.09753417969,301399.34315070417,1434.5372187988257
2010-09-20,182651.2456165245,119565.5,302216.7456165245,2251.9396846191385
2010-09-21,182651.2456165245,119367.80114746094,302019.0467639854,2054.240832080076
2010-09-22,182651.2456165245,120024.39770507812,302675.6433216026,2710.8373896972635
2010-09-23,182651.2456165245,120277.10229492188,302928.34791144636,2963.5419795410135
2010-09-24,182651.2456165245,121459.5,304110.7456165245,4145.9396846191385
2010-09-27,182651.2456165245,121162.39770507812,303813.6433216026,3848.8373896972635
2010-09-28,182651.2456165245,121665.19885253906,304316.44446906354,4351.638537158201
2010-09-29,182651.2456165245,121769.5,304420.7456165245,4455.9396846191385
2010-09-30,182651.2456165245,121331.60229492188,303982.84791144636,4018.0419795410135
2010-10-01,182651.2456165245,121691.69885253906,304342.94446906354,4378.138537158201
2010-10-04,182651.2456165245,121133.80114746094,303785.0467639854,3820.240832080076
2010-10-05,182651.2456165245,123483.30114746094,306134.5467639854,6169.740832080076
2010-10-06,182651.2456165245,123408.30114746094,306059.5467639854,6094.740832080076
2010-10-07,182651.2456165245,123113.30114746094,305764.5467639854,5799.740832080076
2010-10-08,182651.2456165245,123799.89770507812,306451.1433216026,6486.3373896972635
2010-10-11,182651.2456165245,124370.10229492188,307021.34791144636,7056.5419795410135
2010-10-12,182651.2456165245,124357.89770507812,307009.1433216026,7044.3373896972635
2010-10-13,182651.2456165245,126046.5,308697.7456165245,8732.939684619138
2010-10-14,182651.2456165245,126564.89770507812,309216.1433216026,9251.337389697263
2010-10-15,182651.2456165245,127291.69885253906,309942.94446906354,9978.1385371582
2010-10-18,182651.2456165245,127281.39770507812,309932.6433216026,9967.837389697263
2010-10-19,182651.2456165245,124774.69885253906,307425.94446906354,7461.138537158201
2010-10-20,182651.2456165245,125647.60229492188,308298.84791144636,8334.041979541013
2010-10-21,182651.2456165245,124660.89770507812,307312.1433216026,7347.3373896972635
2010-10-22,182651.2456165245,125366.80114746094,308018.0467639854,8053.240832080076
2010-10-25,182651.2456165245,126155.10229492188,308806.34791144636,8841.541979541013
2010-10-26,182651.2456165245,126366.0,309017.2456165245,9052.439684619138
2010-10-27,182651.2456165245,125855.89770507812,308507.1433216026,8542.337389697263
2010-10-28,182651.2456165245,126851.19885253906,309502.44446906354,9537.6385371582
2010-10-29,182651.2456165245,127443.69885253906,310094.94446906354,10130.1385371582
2010-11-01,182651.2456165245,127329.39770507812,309980.6433216026,10015.837389697263
2010-11-02,182651.2456165245,128258.30114746094,310909.5467639854,10944.740832080075
2010-11-03,182651.2456165245,127771.19885253906,310422.44446906354,10457.6385371582
2010-11-04,182651.2456165245,130521.89770507812,313173.1433216026,13208.337389697263
2010-11-05,182651.2456165245,131215.60229492188,313866.84791144636,13902.041979541013
2010-11-08,182651.2456165245,131451.60229492188,314102.84791144636,14138.041979541013
2010-11-09,182651.2456165245,131548.10229492188,314199.34791144636,14234.541979541013
2010-11-10,182651.2456165245,130992.69885253906,313643.94446906354,13679.1385371582
2010-11-11,182651.2456165245,131120.69885253906,313771.94446906354,13807.1385371582
2010-11-12,182651.2456165245,128186.30114746094,310837.5467639854,10872.740832080075
2010-11-15,182651.2456165245,128154.80114746094,310806.0467639854,10841.240832080075
2010-11-16,182651.2456165245,125622.60229492188,308273.84791144636,8309.041979541013
2010-11-17,182651.2456165245,125739.60229492188,308390.84791144636,8426.041979541013
2010-11-18,182651.2456165245,127613.80114746094,310265.0467639854,10300.240832080075
2010-11-19,182651.2456165245,127558.39770507812,310209.6433216026,10244.837389697263
2010-11-22,182651.2456165245,128446.89770507812,311098.1433216026,11133.337389697263
2010-11-23,182651.2456165245,128312.5,310963.7456165245,10998.939684619138
2010-11-24,182651.2456165245,129266.30114746094,311917.5467639854,11952.740832080075
2010-11-26,182651.2456165245,128408.10229492188,311059.34791144636,11094.541979541013
2010-11-29,182651.2456165245,128567.0,311218.2456165245,11253.439684619138
2010-11-30,182651.2456165245,128605.0,311256.2456165245,11291.439684619138
2010-12-01,182651.2456165245,129958.10229492188,312609.34791144636,12644.541979541013
2010-12-02,182651.2456165245,130869.5,313520.7456165245,13555.939684619138
2010-12-03,182651.2456165245,131671.30114746094,314322.5467639854,14357.740832080075
2010-12-06,182651.2456165245,132234.10229492188,314885.34791144636,14920.541979541013
2010-12-07,182651.2456165245,131890.10229492188,314541.34791144636,14576.541979541013
2010-12-08,182651.2456165245,130992.5,313643.7456165245,13678.939684619138
2010-12-09,182651.2456165245,131466.19885253906,314117.44446906354,14152.6385371582
2010-12-10,182651.2456165245,131557.10229492188,314208.34791144636,14243.541979541014
2010-12-13,182651.2456165245,132025.60229492188,314676.84791144636,14712.041979541013
2010-12-14,182651.2456165245,132426.69885253906,315077.94446906354,15113.1385371582
2010-12-15,182651.2456165245,131186.0,313837.2456165245,13872.439684619138
