Date,Cash,PositionsValue,TotalValue,UnrealizedPnL
2014-04-30,308706.8530343,84510.0,393216.8530343,7769.655000000004
2014-05-01,308706.8530343,84498.75,393205.6030343,7758.405000000004
2014-05-02,308706.8530343,84352.5,393059.3530343,7612.155000000004
2014-05-05,308706.8530343,84408.75,393115.6030343,7668.405000000004
2014-05-06,308706.8530343,83891.25,392598.1030343,7150.905000000004
2014-05-07,308706.8530343,84341.25,393048.1030343,7600.905000000004
2014-05-08,308706.8530343,84251.25,392958.1030343,7510.905000000004
2014-05-09,308706.8530343,84307.5,393014.3530343,7567.155000000004
2014-05-12,308706.8530343,85173.75,393880.6030343,8433.405000000004
2014-05-13,308706.8530343,85241.25,393948.1030343,8500.905000000004
2014-05-14,308706.8530343,84836.25,393543.1030343,8095.905000000004
2014-05-15,308706.8530343,84026.25,392733.1030343,7285.905000000004
2014-05-16,308706.8530343,84363.75,393070.6030343,7623.405000000004
2014-05-19,308706.8530343,84701.25,393408.1030343,7960.905000000004
2014-05-20,308706.8530343,84060.0,392766.8530343,7319.655000000004
2014-05-21,308706.8530343,84825.0,393531.8530343,8084.655000000004
2014-05-22,308706.8530343,85061.25,393768.1030343,8320.905000000004
2014-05-23,308706.8530343,85365.0,394071.8530343,8624.655000000004
2014-05-27,308706.8530343,85916.25,394623.1030343,9175.905000000004
2014-05-28,308706.8530343,85905.0,394611.8530343,9164.655000000004
2014-05-29,308706.8530343,86310.0,395016.8530343,9569.655000000004
2014-05-30,308706.8530343,86467.5,395174.3530343,9727.155000000004
2014-06-02,308706.8530343,86478.75,395185.6030343,9738.405000000004
2014-06-03,308706.8530343,86490.0,395196.8530343,9749.655000000004
2014-06-04,308706.8530343,86658.75,395365.6030343,9918.405000000004
2014-06-05,308706.8530343,87232.5,395939.3530343,10492.155000000004
2014-06-06,308706.8530343,87716.25,396423.1030343,10975.905000000004
2014-06-09,308706.8530343,87761.25,396468.1030343,11020.905000000004
2014-06-10,308706.8530343,87772.5,396479.3530343,11032.155000000004
2014-06-11,308706.8530343,87480.0,396186.8530343,10739.655000000004
