Date,Strategy
2004-04-21,0.0010552673940261049
2004-04-22,0.002811137799128227
2004-04-23,0.00012281779103426871
2004-04-26,-0.0008942661756969894
2004-04-27,0.00045794804051078056
2004-04-28,-0.0027589842720322946
2004-04-29,-0.0015146115466856626
2004-04-30,-0.0011850255857797087
2004-05-03,0.0018423191547006113
2004-05-04,0.00035794183445188034
2004-05-05,0.000357302367128165
2004-05-06,-0.001337494427106556
2004-05-07,-0.002746858168761213
2004-05-10,-0.002111586420314948
2004-05-11,0.0015453960077270068
2004-05-12,0.0003286170698311164
2004-05-13,-0.0001640390048300189
2004-05-14,-0.00012769062385991072
2004-05-17,-0.0021173678926713845
2004-05-18,0.0013651877133106006
2004-05-19,-0.0005130554283096612
2004-05-20,9.185266832001382e-05
2004-05-21,0.000807932427469682
2004-05-24,0.0003291880029261396
2004-05-25,0.0032134380135110164
2004-05-26,0.0003414195867026404
2004-05-27,0.0011480850300475077
2004-05-28,-0.00010701863907962572
2004-06-01,8.922994556974651e-05
2004-06-02,0.0006778451658936646
2004-06-03,-0.0014933333333333465
2004-06-04,0.001056779509224448
2004-06-07,0.0031893095768374294
2004-06-08,0.00031567870922484255
2004-06-09,-0.0019085974435300468
2004-06-10,0.0009192963846901937
2004-06-14,-0.0019709634843818823
2004-06-15,0.001190793566160142
2004-06-16,0.0002826855123674754
2004-06-17,-0.00028228652081860875
2004-06-18,0.0005300353356890497
2004-06-21,-0.0008281938325991334
2004-06-22,0.0007254711138636072
2004-06-23,0.0017101551480958933
2004-06-24,-0.0005943536404160233
2004-06-25,-0.0011045849040063117
2004-06-28,-0.0001939351198871897
2004-06-29,0.0005117797582281814
2004-06-30,0.0008097165991902688
2004-07-01,-0.002086255259467018
2004-07-02,-5.9999999999999995e-05
2004-07-06,-0.0016949742313844118
2004-07-07,-5.9999999999999995e-05
2004-07-08,-0.0
2004-07-09,0.0
2004-07-12,0.0
2004-07-13,0.0
2004-07-14,-0.0
2004-07-15,-0.0
2004-07-16,-0.0
2004-07-19,-0.0
2004-07-20,0.0
2004-07-21,-0.0
2004-07-22,0.0
2004-07-23,-0.0
2004-07-26,-0.0
2004-07-27,0.0
2004-07-28,0.0
2004-07-29,0.0
2004-07-30,0.0
2004-08-02,0.0
2004-08-03,-0.0
2004-08-04,-0.0
2004-08-05,-0.0
2004-08-06,-0.0
2004-08-09,0.0
2004-08-10,0.0
2004-08-11,-0.0
2004-08-12,-0.0
2004-08-13,0.0
2004-08-16,0.0
2004-08-17,0.0
2004-08-18,0.0
2004-08-19,-0.0
2004-08-20,0.0
2004-08-23,-0.0
2004-08-24,0.0
2004-08-25,0.0
2004-08-26,0.0
2004-08-27,0.0
2004-08-30,-0.0
2004-08-31,0.0
2004-09-01,0.0
2004-09-02,0.0
2004-09-03,-0.0
2004-09-07,0.0013229022988505636
2004-09-08,-0.0008918219923303328
2004-09-09,-5.9999999999999995e-05
2004-09-10,0.0
2004-09-13,0.00027810837263099637
2004-09-14,0.00044412861964824305
2004-09-15,-0.0014003367898608233
2004-09-16,0.0005533737950731866
2004-09-17,0.0008900756564307777
2004-09-20,-0.001116526362427983
2004-09-21,-5.9999999999999995e-05
2004-09-22,-0.0028404834853449205
2004-09-23,-5.9999999999999995e-05
2004-09-24,0.0
2004-09-27,-0.0
2004-09-28,0.0
2004-09-29,0.0
2004-09-30,-0.0
2004-10-01,0.0
2004-10-04,0.0
2004-10-05,-0.00018332628611699814
2004-10-06,0.001322168356103992
2004-10-07,-0.001978984238178616
2004-10-08,-5.9999999999999995e-05
2004-10-11,0.0
2004-10-12,-0.0005224688722874693
2004-10-13,-5.9999999999999995e-05
2004-10-14,-0.0
2004-10-15,0.0
2004-10-18,0.0
2004-10-19,-0.0
2004-10-20,0.0
2004-10-21,0.0
2004-10-22,-0.0
2004-10-25,-0.0
2004-10-26,0.0
2004-10-27,0.0
2004-10-28,0.0002954291807357224
2004-10-29,0.0004967181124711839
2004-11-01,5.3087949035557363e-05
2004-11-02,0.0
2004-11-03,0.0022467934542238057
2004-11-04,0.003236529041287595
2004-11-05,0.0007747266936386499
2004-11-08,-0.0002229463213856864
2004-11-09,-0.0001373508455661643
2004-11-10,-0.00020616785499525392
2004-11-11,0.0018230286353082548
2004-11-12,0.0018236046016190778
2004-11-15,-6.755615605473775e-05
2004-11-16,-0.0014191586416624213
2004-11-17,0.0011060064658839686
2004-11-18,0.00027075048650475607
2004-11-19,-0.002230671736375167
2004-11-22,0.0011791848244040006
2004-11-23,-5.096839959224387e-05
2004-11-24,0.0008326960659359007
2004-11-26,0.00015231003553903833
2004-11-29,-0.0006933288238775815
2004-11-30,-0.0008145257084676727
2004-12-01,0.002998807292554107
2004-12-02,-0.0001846567063958693
2004-12-03,0.00015122238091240804
2004-12-06,-0.000167897918065818
2004-12-07,-0.002201310704083381
2004-12-08,0.0009684818622037295
2004-12-09,0.0010821778829895213
2004-12-10,-0.00020181634712412855
2004-12-13,0.001801346801346826
2004-12-14,0.0007841828647701555
2004-12-15,0.00038225029084260065
2004-12-16,-0.00041469685659782933
2004-12-17,-0.0014960106382978734
2004-12-20,8.373806732540068e-05
2004-12-21,0.0018079852682681974
2004-12-22,0.000680215678141849
2004-12-23,8.267195767195368e-05
2004-12-27,-0.0008594331047020676
2004-12-28,0.0014275043572080648
2004-12-29,0.0
2004-12-30,0.0
2004-12-31,-0.00026370004120310767
2005-01-02,-0.0037131776549220287
2005-01-03,0.0035311921977467797
2005-01-04,-0.006196298744216788
2005-01-06,0.005013215107852309
2005-01-07,-0.001314147883223793
